genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Reggae,Richie Spice,A No Me Dat,4wYaaskgW2P6tKRGQYP6Sf,27,0.372,0.858,245400,0.425,0,B,0.0906,-7.669,Minor,0.159,81.024,4/4,0.701
Reggae,Aidonia,Boom Flick,4DE6xakcFXVPxQa583LMOc,24,0.215,0.796,199877,0.717,0,E,0.177,-3.454,Major,0.418,129.481,5/4,0.881
Reggae,Beres Hammond,Tempted To Touch,5CT9ATPA5GSAuvKKOjnjFx,23,0.000306,0.707,187933,0.841,0.00482,C,0.0416,-5.741,Major,0.0498,82.198,4/4,0.782
Reggae,Sly & Robbie,If I Gave You My Love,7xtgqTpbrgxHFNTvnRHpvD,32,0.00432,0.541,330177,0.576,0.894,B,0.151,-11.482,Minor,0.0417,87.244,4/4,0.774
Reggae,La Combo Tortuga,No Se Mienta,0kAoi8TFi3xOFN4ZunS7Gd,47,0.111,0.739,164557,0.868,0,E,0.291,-4.186,Minor,0.057,111.93,4/4,0.768
Reggae,Current Swell,Short Stories,4Mp9NN7V2AfTrqfstMJOze,34,0.71,0.679,173720,0.667,2.7e-05,G,0.111,-12.173,Major,0.0691,102.966,4/4,0.756
Reggae,Santaferia,Le Traigo Cumbia,4JPq1zXPMnshuS2TqZtT31,51,0.179,0.699,182373,0.834,0,D,0.161,-6.026,Major,0.0404,125.03,4/4,0.499
Reggae,Tribal Theory,Reggae Party,4QRbXm3vl3KC4TDRiEtKdd,22,0.0453,0.725,181995,0.773,0,G,0.129,-6.018,Major,0.0413,89.035,4/4,0.845
Reggae,Tribal Theory,You Ain't Ready,4ee0YN2ppzmh2aMXUOmgC5,21,0.338,0.7,251929,0.646,0.000322,F#,0.132,-6.97,Minor,0.0504,75.008,4/4,0.677
Reggae,Santaferia,Bailable 90,5ssNPu4wjtfdG6yIiecgTk,48,0.0894,0.658,86813,0.698,0.575,C,0.658,-2.488,Major,0.0363,94.236,4/4,0.938
Reggae,Tribal Theory,Cool Kinda Woman,0xdeZTdoSh38ePARk71UmK,22,0.122,0.7,241093,0.665,1.28e-05,D,0.142,-9.427,Minor,0.0622,76.028,4/4,0.622
Reggae,Burning Spear,Dread River (Jordan River),3kK3mjnDy4q9fcTlIBRIsd,25,0.000771,0.828,193067,0.495,0.652,G,0.391,-10.46,Major,0.0822,147.49,4/4,0.821
Reggae,Frankie Paul,Pass The Tu Sheng Peng,3v4emgL5F4ymsIy8gIWxLR,26,0.0167,0.596,209293,0.557,1.59e-05,C,0.249,-8.433,Minor,0.152,79.725,4/4,0.738
Reggae,Elephant Man,Gal Bruk,7ryfm2E8YsugUh58AHws2A,27,0.0193,0.498,202707,0.662,0,A#,0.28,-7.923,Minor,0.213,132.495,3/4,0.432
Reggae,Quique Neira,Continente,1PlgnixBAghU7Nvct5EaXw,39,0.277,0.694,301093,0.584,2.62e-06,A,0.0634,-6.295,Major,0.0319,134.01,4/4,0.747
Reggae,Long Beach Dub Allstars,Take Warning,2DHinTBS0ubGwUImbHLk20,23,0.00686,0.468,204293,0.64,0.000271,G,0.265,-7.788,Major,0.116,185.683,4/4,0.591
Reggae,Israel Vibration,We a De Rasta,1rggEJEMiOXuVNomI8Aubb,29,0.0798,0.82,293198,0.573,0,C,0.0286,-13.485,Minor,0.153,139.609,4/4,0.884
Reggae,Josh Heinrichs,Control,3PsiIhu9CnEWMo1XmJHKP7,23,0.0389,0.663,296700,0.686,0.000984,A#,0.121,-10.102,Minor,0.0683,175.306,4/4,0.885
Reggae,Jonas Sanche,Piso 13,3QX2Ej4RKTh3yoh7mDhd7d,42,0.7,0.778,229347,0.857,0,F#,0.104,-4.414,Major,0.359,90.134,4/4,0.895
Reggae,Terry Linen,That's The Way It Is,3hDjP4epMNLtTs3raKUuW7,27,0.0746,0.686,235933,0.689,0,G,0.0519,-5.658,Major,0.0396,79.932,4/4,0.605
Reggae,Xavier Rudd,Culture Bleeding,7BGQWk0tF6k6wB9eUP6pNm,36,0.0267,0.471,279305,0.645,0.204,C,0.0875,-10.481,Major,0.0802,142.651,4/4,0.168
Reggae,Kameleba,Intuición,4ctQixEmAbHbABEXvL0al6,44,0.0112,0.769,241493,0.689,0.000301,C#,0.0396,-5.347,Minor,0.0351,92.007,4/4,0.961
Reggae,Cultura Profética,Por Qué Cantamos,2p7paIKPUVzMQ2WfrfnRZG,34,0.0333,0.813,398760,0.529,0.0399,G,0.0781,-8.884,Major,0.199,132.002,4/4,0.656
Reggae,Los Cafres,Sólo un Pensamiento - Versión 25 Años,2gDIa4YN7mAIwFpFNnvCZq,41,0.0682,0.675,271293,0.575,2.78e-05,E,0.0918,-6.355,Minor,0.0485,149.634,4/4,0.82
Reggae,Katchafire,Lead Us,1lN47nFv9H9bXa3ILk56VU,27,0.216,0.831,287067,0.573,5.85e-05,G,0.55,-7.499,Minor,0.0311,117.014,4/4,0.917
Reggae,Fiel A La Vega,Mil Canciones,2VBdpGb8CGu3qJRR7cczHV,21,0.339,0.744,291200,0.608,0,E,0.0752,-7.942,Minor,0.0279,105.261,4/4,0.718
Reggae,Burning Spear,Travelling,0Lq1f09TNiBxeGOdRGzMdG,27,0.36,0.851,211080,0.466,0.031,C,0.146,-10.091,Major,0.329,140.451,4/4,0.761
Reggae,Culture,Dog a Go Nyam Dog,5tw5jvnBskbv2uHICIEiV6,29,0.128,0.644,273107,0.452,0.0875,B,0.0883,-13.541,Minor,0.216,92.399,4/4,0.667
Reggae,Romain Virgo,Taking You Home,3biM9nlPOBcQBu2NKnEDst,30,0.149,0.603,250493,0.737,0,A,0.348,-2.866,Major,0.0893,170.088,4/4,0.754
Reggae,La Secta AllStar,Llora Mi Corazón,4xThDuqMZMi85662J9YosS,22,0.153,0.629,187120,0.934,0,C,0.13,-4.584,Major,0.061,169.972,4/4,0.887
Reggae,Sublime,Shame In Dem Game - Rarities Version,7niuxA1jR2huOEFPHWDruF,23,0.0734,0.451,384400,0.668,0.00791,D,0.122,-7.48,Major,0.0999,75.162,4/4,0.806
Reggae,I-Octane,Mi Ears a Ring,6tFh0hvUnN6OEysvSomVrN,29,0.0202,0.83,197068,0.753,0,C,0.11,-6.276,Minor,0.192,97.997,4/4,0.465
Reggae,Jah Cure,Pressure We Hard,2XxjTpJvLcDvsNt5qAG9FI,30,0.119,0.536,240744,0.727,0,A,0.0895,-5.404,Minor,0.395,178.945,4/4,0.535
Reggae,Morodo,Burning Song,3ilr7hKnwSiJ71sMbk765C,45,0.27,0.643,270891,0.691,0,C#,0.0827,-5.73,Minor,0.226,79.824,4/4,0.609
Reggae,The Ethiopians,What a Fire,5tjg8d1H9RTv53eQScKmwJ,29,0.608,0.862,163500,0.507,0.0721,G,0.239,-9.056,Major,0.0749,104.336,4/4,0.909
Reggae,Sanchez,I'm Never Gonna Fall In Love,5Lf7sgS64jkULTNQ7XU49n,27,0.0705,0.738,219040,0.583,0.000209,D#,0.123,-9.372,Major,0.0599,105.322,4/4,0.755
Reggae,Aswad,Roots Rockin',61JjO8rJeDivJUghlapTv5,27,0.115,0.741,239787,0.626,0.000115,G#,0.934,-6.619,Major,0.105,134.766,4/4,0.694
Reggae,Shaggy,That Love - Black Caviar Remix,59KIUHbv93z1FWP7aC8DQb,29,0.0229,0.901,220364,0.655,0.00119,A,0.205,-7.202,Minor,0.189,109.966,4/4,0.45
Reggae,La Secta AllStar,Se Acabó,7mkrE55Rl8IyciqO3UkkBt,21,0.0161,0.478,377360,0.64,0.000323,D,0.106,-5.982,Major,0.0403,158.481,4/4,0.546
Reggae,Desmond Dekker,Rude Boy Train,5QJCROa1gZAN7cc0ljNHb7,28,0.693,0.597,138787,0.479,0,G#,0.327,-8.808,Major,0.0787,182.295,4/4,0.828
Reggae,Gregory Isaacs,Be You,4HUxazcTldHfHwUHIyr09Q,24,0.717,0.77,390504,0.605,0.135,B,0.0715,-9.435,Major,0.175,138.621,4/4,0.723
Reggae,Third World,Loving You Is Easy,4ex903EhWe6tBRVkkBXyYm,28,0.371,0.898,211896,0.672,0.0009,G#,0.275,-7.348,Major,0.0559,144.355,4/4,0.753
Reggae,Sizzla,Without Jah Jah Dubbin Caa Gwan,6MnXCwqhtaqbk1Rqjq1j4Z,28,0.00146,0.784,217573,0.494,0.0386,C#,0.138,-13.662,Major,0.113,141.972,4/4,0.8
Reggae,Maskavo,Asas,6LFAmpzXbWQEx0NWondpSM,52,0.00383,0.604,228733,0.779,0,B,0.37,-6.459,Major,0.0318,158.062,4/4,0.875
Reggae,Sizzla,Persistance,0jaQzV0b8AdE84xjla0Bpz,27,0.124,0.771,186346,0.8,0,A#,0.145,-4.056,Minor,0.214,104.005,4/4,0.719
Reggae,Morgan Heritage,Want Some More (feat. Mr. Talkbox),4fJuNI5I5IIMr9829edetj,20,0.0701,0.789,271221,0.723,0,G,0.659,-3.521,Minor,0.0827,124.053,4/4,0.747
Reggae,Sizzla,Without Jah Jah,47tYLwKdeuprxyqy7TTIV9,28,0.00321,0.796,216338,0.509,0.000186,F#,0.105,-12.211,Minor,0.108,141.978,4/4,0.772
Reggae,Joe Vasconcellos,Huellas - En Vivo,2T9Bbi2efKeSEKMpUJTrWv,42,0.172,0.346,347040,0.811,2.85e-06,A,0.972,-6.218,Minor,0.0523,74.383,5/4,0.483
Reggae,Popcaan,Stay Up,1ppvFThymangpcSRzAqMj4,25,0.0856,0.533,194483,0.716,0,G,0.28,-4.78,Minor,0.158,86.244,4/4,0.351
Reggae,Vybz Kartel,Ice Queen (feat. Toian),6HxoKwg4ULtIvONBqWA8R4,29,0.323,0.499,200518,0.675,1.04e-06,A,0.134,-4.447,Minor,0.121,110.579,5/4,0.29
Reggae,Inna Vision,Pumpin' Fya,7BANHOrKukQvVI07yVu7Am,20,0.341,0.949,303257,0.478,0,A#,0.0728,-7.389,Major,0.0583,125.082,4/4,0.956
Reggae,Noize MC,"Detka, Poslushai",3At9CuVW91bBZs9KBhbYfD,35,0.19,0.733,218807,0.786,0,A,0.317,-5.821,Minor,0.138,150.029,4/4,0.686
Reggae,Bob Marley & The Wailers,Run For Cover - Soul Rebel version,1Xn6O2ckAmoUwjOStQyhOk,24,0.0782,0.876,190720,0.269,0.534,B,0.122,-12.278,Major,0.645,94.535,4/4,0.678
Reggae,Linton Kwesi Johnson,Fite Dem Back,5WSQjKdZB89Xd5k2FGmcdq,30,0.0228,0.887,267493,0.484,0,E,0.098,-16.881,Minor,0.222,115.88,4/4,0.879
Reggae,G. Love & Special Sauce,Walk To Slide,41EACoU6fGTau2zfbKng3I,23,0.09,0.688,268400,0.649,0.00946,F#,0.164,-12.843,Minor,0.0639,90.516,4/4,0.465
Reggae,Stephen Marley,When She Dances - DJ Chino Remix,1yVnKgMcDqy17JSGVrDrsY,24,0.00269,0.727,204375,0.827,2.8e-06,G,0.112,-5.171,Minor,0.0307,128.013,4/4,0.46
Reggae,Natural Vibrations,Hopin' and Prayin',17LclyI6tpzyCnsb8poTUo,21,0.0446,0.79,240053,0.415,1.1e-05,G,0.383,-9.481,Major,0.244,78.039,4/4,0.576
Reggae,Clear Conscience,"Bottomed Out (The ""Akicita"" Remix)",1p2DT6DrDzw2SPryaCZBpM,21,0.0178,0.842,292670,0.595,0.00438,A,0.102,-7.543,Major,0.0423,135.036,4/4,0.575
Reggae,Beenie Man,Ole Dawg,6yfqx5F56Fot2pIs63kkhb,26,0.0165,0.812,161173,0.715,0,G,0.309,-6.9,Major,0.186,91.652,4/4,0.688
Reggae,77 Jefferson,Before Too Long,44ueDOodtOzB5WUj3oJ0l4,22,0.0859,0.815,232339,0.604,0.000392,G#,0.149,-6.212,Minor,0.0762,129.96,4/4,0.545
Reggae,Christafari,Our God,4Q3MJ1cIiXwcR26KXk45K6,33,0.15,0.731,259200,0.854,1.08e-06,A#,0.0952,-6.808,Major,0.0373,100.011,4/4,0.729
Reggae,Zoufris Maracas,Pacifique,5kBAS93dHatBVw5lve0NVF,43,0.444,0.651,402050,0.412,0,D#,0.103,-9.686,Minor,0.0517,179.852,3/4,0.922
Reggae,Rawayana,Betonada,6fHwcoLCibaUneXqRUBcgf,36,0.0321,0.769,178680,0.684,0,F,0.119,-6.255,Minor,0.0425,94.005,4/4,0.936
Reggae,Wookiefoot,Crack In The Dam,03l4FHPDK1sJTPnCVF8loJ,20,0.0244,0.627,164267,0.672,1.6e-05,E,0.114,-6.559,Major,0.291,130,4/4,0.772
Reggae,The Expendables,Stereo,29mnSe6MyYfa43d3bHKBQo,21,0.318,0.567,523213,0.00292,0.000461,A#,0.118,-9.514,Minor,0.0593,139.124,4/4,0.972
Reggae,Café Por Las Venas,Déjame Ser (feat. Sie7e),4B6ZerX1arUpRTuZGIm6iD,31,0.174,0.693,237252,0.56,0.00343,F,0.111,-7.963,Major,0.056,170.032,4/4,0.839
